Y,X,gwid,statename,from,to,group,groupid,gwgroupid,umbrella,sqkm,type
,,130,Ecuador,1946,2013,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,23528,Regionally based
,,130,Ecuador,1971,2013,Whites/mestizos,2000,13002000,,256452,Statewide
,,135,Peru,1946,2013,Indigenous peoples of the Amazon,5000,13505000,,354830,Regionally based
,,135,Peru,1946,2013,Whites/mestizos,2000,13502000,,351383,Regional & urban
,,135,Peru,1946,2013,Indigenous peoples of the Andes,1000,13501000,,333723,Regionally based
,,211,Belgium,1946,2013,Flemings,1000,21101000,,13755,Regional & urban
,,135,Peru,1946,2013,Afroperuvians,4000,13504000,,74240,Regional & urban
,,140,Brazil,1978,2013,Whites,1000,14001000,,8504608,Statewide
,,140,Brazil,1978,2013,Indigenous peoples,3000,14003000,,3581593,Regionally based
,,145,Bolivia,1946,2013,Aymara,5000,14505000,,91510,Regional & urban
,,140,Brazil,1978,2013,Afrobrazilians,2000,14002000,,571491,Statewide
,,145,Bolivia,1946,2013,Whites/mestizos,4000,14504000,,1090257,Statewide
,,145,Bolivia,1946,2013,Guaraní and other eastern indigenous groups,6000,14506000,,66569,Regionally based
,,211,Belgium,1973,2013,Germans,3000,21103000,,1158,Regional & urban
,,220,France,1946,2013,Roma,4000,22004000,,,Migrant
,,145,Bolivia,1946,2013,Quechua,3000,14503000,,319294,Regional & urban
,,220,France,1946,2013,French,1000,22001000,,510885,Statewide
,,150,Paraguay,1946,2009,Whites/mestizos,1000,15001000,,399757,Statewide
,,551,Zambia,1964,2013,Lunda (NW Province),4000,55104000,,25830,Regionally based
,,150,Paraguay,1946,2009,Tupi-Guaraní and other indigenous groups,5000,15005000,,189056,Regionally based
,,155,Chile,1946,2013,Whites/mestizos,1000,15501000,,436648,Statewide
,,200,United Kingdom,1946,2013,Protestants In N. Ireland,7000,20007000,,5212,Regional & urban
,,155,Chile,1946,2013,Mapuche,2000,15502000,,82530,Regionally based
,,155,Chile,1946,2013,Other indigenous groups,3000,15503000,,59852,Regionally based
,,160,Argentina,1946,2013,Whites/mestizos,1000,16001000,,2781219,Statewide
,,160,Argentina,1946,2013,Indigenous peoples,2000,16002000,,677484,Regional & urban
,,200,United Kingdom,1972,2013,Asians,3000,20003000,,,Urban
,,200,United Kingdom,1972,2013,Afro-Caribbeans,4000,20004000,,,Urban
,,220,France,1946,2013,Corsicans,3000,22003000,,8766,Regional & urban
,,165,Uruguay,1946,2013,Whites/mestizos,1000,16501000,,177959,Statewide
,,165,Uruguay,1989,2013,Afro-Uruguayans,2000,16502000,,,Urban
,,200,United Kingdom,1946,2013,English,1000,20001000,,139712,Regional & urban
,,200,United Kingdom,1946,2013,Scots,2000,20002000,,67531,Regional & urban
,,211,Belgium,1946,2013,Walloon,2000,21102000,,15671,Regional & urban
,,200,United Kingdom,1946,2013,Welsh,5000,20005000,,19952,Regional & urban
,,200,United Kingdom,1946,2013,Catholics In N. Ireland,6000,20006000,,8295,Regional & urban
,,220,France,1946,2013,Basques,2000,22002000,,2573,Regional & urban
,,225,Switzerland,1946,2013,Swiss Germans,1000,22501000,,23724,Regional & urban
,,225,Switzerland,1946,2013,Swiss French,2000,22502000,,9926,Regional & urban
,,230,Spain,1946,2013,Catalans,2000,23002000,,47374,Regional & urban
,,230,Spain,1946,2013,Basques,4000,23004000,,11586,Regional & urban
,,551,Zambia,1964,2013,Lozi (Barotse),3000,55103000,,24322,Regionally based
,,552,Zimbabwe,1965,2013,Europeans,2000,55202000,,,Dispersed
,,230,Spain,1979,2013,Galician,3000,23003000,,35111,Regional & urban
,,290,Poland,1946,2013,Ukrainians,3000,29003000,,,Dispersed
,,290,Poland,1946,1989,European and American Jews,5000,29005000,,,Dispersed
,,290,Poland,1946,2013,Roma,6000,29006000,,,Migrant
,,290,Poland,1946,2013,Poles,1000,29001000,,310465,Statewide
,,290,Poland,1946,2013,Germans,2000,29002000,,3225,Regionally based
,,290,Poland,1946,2013,Byelorussians,4000,29004000,,3010,Regionally based
,,341,Montenegro,2006,2013,Serbs,2000,34102000,,6496,Regional & urban
,,305,Austria,1955,2013,Austrians,1000,30501000,,83708,Statewide
,,305,Austria,1955,2013,Slovenes,2000,30502000,,1481,Regional & urban
,,310,Hungary,1946,2013,Roma,2000,31002000,,,Migrant
,,341,Montenegro,2006,2013,Bosniak/Muslims,3000,34103000,,841,Regionally based
,,310,Hungary,1946,2013,Hungarians,1000,31001000,,92741,Statewide
,,315,Czechoslovakia,1946,1992,Roma,4000,31504000,,,Migrant
,,325,Italy,1946,2013,Sardinians,2000,32502000,,23849,Regionally based
,,341,Montenegro,2006,2013,Albanians,4000,34104000,,298,Regionally based
,,315,Czechoslovakia,1946,1992,Czechs,1000,31501000,,78436,Regionally based
,,325,Italy,1946,2013,Friulians,3000,32503000,,7835,Regionally based
,,325,Italy,1946,2013,German speakers (Austrians),4000,32504000,,6486,Regionally based
,,343,Macedonia,1991,2013,Roma,3000,34303000,,,Dispersed
,,343,Macedonia,1991,2013,Serbs,4000,34304000,,,Dispersed
,,315,Czechoslovakia,1946,1992,Slovaks,2000,31502000,,46496,Regionally based
,,315,Czechoslovakia,1946,1992,Hungarians,3000,31503000,,2336,Regionally based
,,317,Slovakia,1993,2013,Roma,3000,31703000,,,Migrant
,,325,Italy,1946,2013,Aostans (French speakers),5000,32505000,,3227,Regionally based
,,345,Serbia and Montenegro,1946,1991,Slovenes,7000,34507000,,20724,Regional & urban
,,317,Slovakia,1993,2013,Slovaks,1000,31701000,,44290,Statewide
,,317,Slovakia,1993,2013,Hungarians,2000,31702000,,9714,Regional & urban
,,325,Italy,1946,2013,Roma,6000,32506000,,,Urban
,,325,Italy,1946,2013,Italians,1000,32501000,,299573,Statewide
,,339,Albania,1946,2013,Albanians,1000,33901000,,27624,Statewide
,,339,Albania,1990,2013,Greeks,2000,33902000,,1825,Regionally based
,,339,Albania,1990,2013,Macedonians,3000,33903000,,1012,Regionally based
,,340,Serbia,2007,2013,Croats,2000,34002000,,,Dispersed
,,340,Serbia,2007,2013,Montenegrins,9000,34009000,,,Dispersed
,,340,Serbia,2007,2013,Roma,12000,34012000,,,Dispersed
,,340,Serbia,2007,2008,Serbs,1000,34001000,,78616,Regional & urban
,,340,Serbia,2007,2008,Albanians,6000,34006000,,10999,Regional & urban
,,340,Serbia,2007,2013,Hungarians,11000,34011000,,5395,Regionally based
,,340,Serbia,2007,2013,Bosniak/Muslims,4000,34004000,,2190,Regionally based
,,340,Serbia,2009,2013,Albanians,6000,34006000,,1303,Regionally based
,,341,Montenegro,2006,2013,Croats,5000,34105000,,,Dispersed
,,341,Montenegro,2006,2013,Roma,6000,34106000,,,Dispersed
,,340,Serbia,2009,2013,Serbs,1000,34001000,,77029,Statewide
,,341,Montenegro,2006,2013,Montenegrins,1000,34101000,,7590,Regional & urban
,,343,Macedonia,1991,2013,Macedonians,1000,34301000,,21613,Regional & urban
,,343,Macedonia,1991,2013,Albanians,2000,34302000,,3716,Regional & urban
,,343,Macedonia,1991,2013,Turks,5000,34305000,,1360,Regional & urban
,,344,Croatia,1991,2013,Roma,5000,34405000,,,Dispersed
,,344,Croatia,1991,1995,Croats,1000,34401000,,45710,Regional & urban
,,344,Croatia,1991,1995,Serbs,2000,34402000,,13646,Regional & urban
,,344,Croatia,1996,2013,Bosniaks,3000,34403000,,,Dispersed
,,344,Croatia,1996,2013,Italians,4000,34404000,,,Dispersed
,,344,Croatia,1996,2013,Croats,1000,34401000,,55764,Statewide
,,344,Croatia,1996,2013,Serbs,2000,34402000,,5055,Regionally based
,,625,Sudan,1956,2011,Latoka,6000,62506000,,15187,Regionally based
,,344,Croatia,1996,2013,Hungarians,6000,34406000,,1293,Regionally based
,,345,Serbia and Montenegro,1946,1992,Bosniaks/Muslims,4000,34504000,,39775,Regional & urban
,,347,Kosovo,2008,2013,Serbs,2000,34702000,,1218,Regionally based
,,345,Serbia and Montenegro,1946,1991,Serbs,1000,34501000,,131079,Regional & urban
,,347,Kosovo,2008,2013,Gorani,4000,34704000,,441,Regionally based
,,349,Slovenia,1991,2013,Serbs,2000,34902000,,,Urban
,,349,Slovenia,1991,2013,Croats,3000,34903000,,,Dispersed
,,349,Slovenia,1991,2013,Bosniaks,4000,34904000,,,Urban
,,349,Slovenia,1991,2013,Hungarians,5000,34905000,,,Dispersed
,,349,Slovenia,1991,2013,Italians,6000,34906000,,,Dispersed
,,349,Slovenia,1991,2013,Albanians,7000,34907000,,,Urban
,,349,Slovenia,1991,2013,Roma,8000,34908000,,,Dispersed
,,345,Serbia and Montenegro,1946,1991,Croats,2000,34502000,,37126,Regional & urban
,,345,Serbia and Montenegro,1946,1991,Macedonians,8000,34508000,,21498,Regional & urban
,,365,Russia,1946,2013,Karelians,56000,36556000,,89503,Regionally based
,,365,Russia,1946,1991,Azerbaijanis,9000,36509000,,78864,Regional & urban
,,365,Russia,1946,1991,Tajiks,19000,36519000,,75765,Regional & urban
,,345,Serbia and Montenegro,1946,2006,Montenegrins,9000,34509000,,13990,Regional & urban
,,345,Serbia and Montenegro,1946,1991,Albanians,6000,34506000,,11282,Regional & urban
,,345,Serbia and Montenegro,1946,2006,Hungarians,11000,34511000,,5395,Regional & urban
,,345,Serbia and Montenegro,1992,1992,Serbs,1000,34501000,,110858,Regional & urban
,,345,Serbia and Montenegro,1992,2006,Albanians,6000,34506000,,11282,Regional & urban
,,345,Serbia and Montenegro,1992,1992,Croats,2000,34502000,,6738,Regional & urban
,,345,Serbia and Montenegro,1993,2006,Croats,2000,34502000,,,Dispersed
,,345,Serbia and Montenegro,1993,2006,Serbs,1000,34501000,,72838,Regional & urban
,,345,Serbia and Montenegro,1993,2006,Bosniaks/Muslims,4000,34504000,,2190,Regionally based
,,345,Serbia and Montenegro,2000,2006,Roma,12000,34512000,,,Dispersed
,,346,Bosnia and Herzegovina,1992,2013,Roma,4000,34604000,,,Dispersed
,,626,South Sudan,2011,2013,Murle,17000,62617000,,36719,Regionally based
,,346,Bosnia and Herzegovina,1992,1995,Serbs,2000,34602000,,22701,Regional & urban
,,500,Uganda,1972,1985,Karamojong,7000,50007000,,24103,Regionally based
,,346,Bosnia and Herzegovina,1992,1995,Bosniaks/Muslims,1000,34601000,,21984,Regional & urban
,,626,South Sudan,2011,2013,Toposa,18000,62618000,,25582,Regionally based
,,346,Bosnia and Herzegovina,1992,1995,Croats,3000,34603000,,6738,Regional & urban
,,346,Bosnia and Herzegovina,1996,2013,Serbs,2000,34602000,,28363,Regional & urban
,,346,Bosnia and Herzegovina,1996,2013,Bosniaks/Muslims,1000,34601000,,14493,Regional & urban
,,346,Bosnia and Herzegovina,1996,2013,Croats,3000,34603000,,8566,Regional & urban
,,347,Kosovo,2008,2013,Roma,3000,34703000,,,Dispersed
,,347,Kosovo,2008,2013,Turks,5000,34705000,,,Dispersed
,,347,Kosovo,2008,2013,Bosniaks,6000,34706000,,,Dispersed
,,347,Kosovo,2008,2013,Albanians,1000,34701000,,9774,Regional & urban
,,349,Slovenia,1991,2013,Slovenes,1000,34901000,,20370,Statewide
,,350,Greece,1946,2013,Roma,3000,35003000,,,Dispersed
,,350,Greece,1946,2013,Greeks,1000,35001000,,126480,Regional & urban
,,350,Greece,1946,2013,Macedonians,4000,35004000,,2650,Regionally based
,,350,Greece,1946,2013,Muslims,2000,35002000,,1549,Regionally based
,,352,Cyprus,1960,1974,Greeks,1000,35201000,,9137,Statewide
,,626,South Sudan,2011,2013,Shilluk,13000,62613000,,11470,Regionally based
,,626,South Sudan,2011,2013,Mundari,20000,62620000,,7870,Regionally based
,,352,Cyprus,1960,1974,Turks,2000,35202000,,962,Regionally based
,,352,Cyprus,1975,2013,Greeks,1000,35201000,,5543,Regionally based
,,352,Cyprus,1975,2013,Turks,2000,35202000,,3044,Regionally based
,,365,Russia,1946,2013,Khakass,57000,36557000,,26901,Regionally based
,,365,Russia,1946,2013,Mordva,20000,36520000,,26183,Regionally based
,,365,Russia,1946,1991,Karakalpaks,55000,36555000,,22176,Regionally based
,,365,Russia,1946,2013,Mari,29000,36529000,,21171,Regionally based
,,355,Bulgaria,1946,2013,Bulgarians,1000,35501000,,110835,Statewide
,,355,Bulgaria,1958,2013,Roma,3000,35503000,,,Dispersed
,,355,Bulgaria,1958,1989,Pomaks,4000,35504000,,,Dispersed
,,365,Russia,1946,1991,Avars,23000,36523000,,16498,Regionally based
,,365,Russia,1957,2013,Ingush,33000,36533000,,2526,Regionally based
,,365,Russia,1992,2013,Ukrainians,2000,36502000,,,Dispersed
,,355,Bulgaria,1958,2013,Turkish,2000,35502000,,6617,Regionally based
,,355,Bulgaria,1999,2013,Macedonians,5000,35505000,,,Dispersed
,,359,Moldova,1991,2013,Bulgarians,5000,35905000,,,Dispersed
,,365,Russia,1992,2013,Byelorussians,4000,36504000,,,Dispersed
,,365,Russia,1992,2013,Armenians,8000,36508000,,,Urban
,,365,Russia,1992,2013,Azerbaijanis,9000,36509000,,,Dispersed
,,365,Russia,1992,2013,Georgians,10000,36510000,,,Dispersed
,,365,Russia,1992,2013,Kazakhs,12000,36512000,,,Dispersed
,,365,Russia,1992,2013,Poles,18000,36518000,,,Dispersed
,,365,Russia,1992,2013,Russians,1000,36501000,,nan,Regional & urban
,,365,Russia,1992,2013,Chukchi,48000,36548000,,255773,Regionally based
,,365,Russia,1992,2013,Tatars,3000,36503000,,102108,Regional & urban
,,365,Russia,1992,2013,Avars,23000,36523000,,16048,Regionally based
,,481,Gabon,1960,2000,Myene,5000,48105000,,21312,Regional & urban
,,359,Moldova,1991,2013,Moldovans,1000,35901000,,28883,Regional & urban
,,626,South Sudan,2011,2013,Didinga,21000,62621000,,7061,Regionally based
,,359,Moldova,1991,2013,Russian speakers,3000,35903000,,4797,Regional & urban
,,359,Moldova,1991,2013,Gagauz,4000,35904000,,982,Regionally based
,,360,Romania,1946,2013,Roma,3000,36003000,,,Migrant
,,360,Romania,1946,2013,Romanians,1000,36001000,,216257,Regional & urban
,,360,Romania,1946,2013,Hungarians,2000,36002000,,63238,Regionally based
,,365,Russia,1946,1991,Uighurs,66000,36566000,,6112,Regionally based
,,626,South Sudan,2011,2013,Anyuak,19000,62619000,,3875,Regionally based
,,630,Iran,1946,2013,Armenians,2000,63002000,,,Urban
,,630,Iran,1946,2013,Assyrians,3000,63003000,,,Urban
,,630,Iran,1946,2013,Jews,7000,63007000,,,Urban
,,630,Iran,1946,2013,Zoroastrians,12000,63012000,,,Urban
,,630,Iran,1946,2013,Persians,9000,63009000,,677135,Regional & urban
,,360,Romania,1946,2013,Germans,4000,36004000,,21407,Regional & urban
,,365,Russia,1946,2013,Jews,11000,36511000,,,Urban
,,365,Russia,1946,1956,Chechens,16000,36516000,,,Dispersed
,,365,Russia,1946,2013,Germans,17000,36517000,,,Dispersed
,,365,Russia,1946,1956,Ingush,33000,36533000,,,Dispersed
,,365,Russia,1946,1991,Koreans,38000,36538000,,,Dispersed
,,365,Russia,1946,1956,Balkars,43000,36543000,,,Dispersed
,,365,Russia,1946,1991,Crimean Tatars,49000,36549000,,,Dispersed
,,365,Russia,1946,2013,Roma,52000,36552000,,,Dispersed
,,365,Russia,1946,1956,Kalmyks,53000,36553000,,,Dispersed
,,365,Russia,1946,1956,Karachai,54000,36554000,,,Dispersed
,,365,Russia,1946,1991,Russians,1000,36501000,,nan,Regional & urban
,,365,Russia,1946,1991,Kazakhs,12000,36512000,,nan,Regional & urban
,,365,Russia,1946,2013,Yakuts,36000,36536000,,2288212,Regionally based
,,365,Russia,1946,1991,Ukrainians,2000,36502000,,637853,Regional & urban
,,365,Russia,1946,1991,Turkmens,25000,36525000,,473795,Regional & urban
,,365,Russia,1946,2013,Komi,37000,36537000,,287735,Regionally based
,,365,Russia,1946,1991,Kirghis,22000,36522000,,211978,Regional & urban
,,365,Russia,1946,1991,Byelorussians,4000,36504000,,198880,Regional & urban
,,365,Russia,1946,2013,Tuvinians,39000,36539000,,171328,Regionally based
,,365,Russia,1946,1991,Uzbeks,5000,36505000,,165586,Regional & urban
,,365,Russia,1946,2013,Buryats,32000,36532000,,155535,Regional & urban
,,365,Russia,1946,1991,Tatars,3000,36503000,,102516,Regional & urban
,,365,Russia,1946,2013,Altai,47000,36547000,,71684,Regionally based
,,365,Russia,1946,2013,Bashkirs,7000,36507000,,63991,Regional & urban
,,365,Russia,1946,1991,Latvians,21000,36521000,,62400,Regional & urban
,,630,Iran,1946,2013,Arabs,1000,63001000,,187255,Regional & urban
,,630,Iran,1946,2013,Kurds,8000,63008000,,107555,Regional & urban
,,630,Iran,1946,2013,Azeri,4000,63004000,,102446,Regional & urban
,,365,Russia,1946,1991,Lithuanians,13000,36513000,,60310,Regional & urban
,,365,Russia,1946,1991,Georgians,10000,36510000,,52752,Regional & urban
,,365,Russia,1946,1991,Estonians,24000,36524000,,46869,Regional & urban
,,365,Russia,1946,1991,Finns,50000,36550000,,38605,Regional & urban
,,365,Russia,1946,2013,Chuvashes,6000,36506000,,35779,Regionally based
,,365,Russia,1946,1991,Armenians,8000,36508000,,34171,Regional & urban
,,365,Russia,1946,1991,Moldovans,14000,36514000,,31546,Regional & urban
,,365,Russia,1946,2013,Udmurt,30000,36530000,,29032,Regionally based
,,369,Ukraine,1991,2013,Hungarians,7000,36907000,,1639,Regionally based
,,710,China,1946,2013,Xibe,32000,71032000,,1883,Regionally based
,,365,Russia,1946,1991,Poles,18000,36518000,,12710,Regional & urban
,,365,Russia,1946,1991,Komi-Permyaks,58000,36558000,,11936,Regionally based
,,365,Russia,1946,1991,Ossetes,27000,36527000,,11583,Regionally based
,,710,China,1946,2013,Salar,5500,71005500,71005000,1479,Regionally based
,,365,Russia,1946,2013,Dargins,26000,36526000,,7201,Regionally based
,,365,Russia,1946,2013,Kumyks,34000,36534000,,6544,Regionally based
,,365,Russia,1946,1991,Abkhaz,46000,36546000,,5495,Regionally based
,,471,Cameroon,1960,2013,Bassa/Duala,2000,47102000,,17795,Regionally based
,,365,Russia,1946,1991,Lezgins,35000,36535000,,5130,Regionally based
,,365,Russia,1946,2013,Laks,59000,36559000,,3225,Regionally based
,,365,Russia,1946,2013,Kabardins,28000,36528000,,3979,Regionally based
,,365,Russia,1946,2013,Circassians,44000,36544000,,969,Regionally based
,,471,Cameroon,1960,2013,Bamileke,1000,47101000,,14485,Regionally based
,,365,Russia,1946,2013,Adyghe,40000,36540000,,2275,Regionally based
,,365,Russia,1946,2013,Tabasarans,65000,36565000,,855,Regionally based
,,365,Russia,1957,2013,Kalmyks,53000,36553000,,56510,Regionally based
,,471,Cameroon,1962,2013,Southwestern Anglophones (Bakweri etc.),6000,47106000,,22486,Regionally based
,,365,Russia,1946,2013,Nogai,61000,36561000,,2227,Regionally based
,,365,Russia,1946,1991,Gagauz,51000,36551000,,1048,Regionally based
,,365,Russia,1946,1991,Pamir Tajiks,63000,36563000,,975,Regionally based
,,471,Cameroon,1962,2013,Northwestern Anglophones (Grassfielders),5000,47105000,,18769,Regionally based
,,475,Nigeria,1960,2013,Hausa-Fulani and Muslim Middle Belt,1000,47501000,,404003,Regional & urban
,,365,Russia,1957,2013,Chechens,16000,36516000,,10994,Regional & urban
,,500,Uganda,1974,1979,"Far North-West Nilers (Madi, Lugbara, Alur)",9111,50009111,50009110,15742,Regionally based
,,365,Russia,1957,2013,Karachai,54000,36554000,,9522,Regionally based
,,365,Russia,1957,2013,Balkars,43000,36543000,,5242,Regionally based
,,365,Russia,1992,2013,Ossetes,27000,36527000,,6428,Regionally based
,,365,Russia,1992,2013,Lezgins,35000,36535000,,3660,Regionally based
,,366,Estonia,1991,2013,Russians,2000,36602000,,,Urban
,,366,Estonia,1991,2013,Ukrainians,3000,36603000,,,Urban
,,366,Estonia,1991,2013,Byelorussians,4000,36604000,,,Urban
,,366,Estonia,1991,2013,Estonians,1000,36601000,,43937,Regional & urban
,,367,Latvia,1991,2013,Russians,2000,36702000,,,Urban
,,367,Latvia,1991,2013,Ukrainians,4000,36704000,,,Urban
,,367,Latvia,1991,2013,Latvians,1000,36701000,,61124,Regional & urban
,,367,Latvia,1991,2013,Byelorussians,3000,36703000,,821,Regionally based
,,368,Lithuania,1991,2013,Russians,3000,36803000,,,Urban
,,368,Lithuania,1991,2013,Lithuanians,1000,36801000,,59289,Regional & urban
,,483,Chad,1973,2013,Toubou,6000,48306000,,520453,Regionally based
,,368,Lithuania,1991,2013,Poles,2000,36802000,,7766,Regional & urban
,,369,Ukraine,1991,2013,Ukrainians,1000,36901000,,562459,Regional & urban
,,369,Ukraine,1991,2013,Russians,2000,36902000,,132647,Regional & urban
,,370,Belarus,1991,2013,Poles,3000,37003000,,28127,Regional & urban
,,371,Armenia,1991,2013,Russians,3000,37103000,,,Urban
,,371,Armenia,1991,2013,Armenians,1000,37101000,,23402,Regional & urban
,,369,Ukraine,1991,2013,Crimean Tatars,5000,36905000,,25560,Regionally based
,,369,Ukraine,1991,2013,Romanians/Moldovans,3000,36903000,,9005,Regionally based
,,500,Uganda,1974,1979,Kakwa-Nubian,9112,50009112,50009110,2293,Regionally based
,,370,Belarus,1991,2013,Byelorussians,1000,37001000,,206853,Statewide
,,370,Belarus,1991,2013,Russians,2000,37002000,,206853,Regional & urban
,,371,Armenia,1991,2013,Kurds,2000,37102000,,468,Regional & urban
,,372,Georgia,1991,2008,Georgians,1000,37201000,,51345,Regional & urban
,,373,Azerbaijan,1991,2013,Armenians,4000,37304000,,4057,Regionally based
,,373,Azerbaijan,1991,2013,Lezgins,2000,37302000,,3820,Regional & urban
,,375,Finland,1946,2013,Finns,1000,37501000,,320144,Regional & urban
,,372,Georgia,1991,2013,Abkhazians,7000,37207000,,5507,Regionally based
,,372,Georgia,1991,2013,Ossetians (South),6000,37206000,,5154,Regionally based
,,372,Georgia,1991,2013,Armenians,2000,37202000,,3742,Regional & urban
,,432,Mali,1960,2013,"Blacks (Mande, Peul, Voltaic etc.)",1000,43201000,,470278,Regional & urban
,,372,Georgia,1991,2013,Azeri,5000,37205000,,3133,Regional & urban
,,372,Georgia,2009,2013,Georgians,1000,37201000,,50936,Regional & urban
,,373,Azerbaijan,1991,2013,Azeri,1000,37301000,,81867,Regional & urban
,,375,Finland,1946,2013,Swedes,2000,37502000,,7882,Regional & urban
,,404,Guinea-Bissau,1974,2013,Cape Verdean,6000,40406000,,,Urban
,,433,Senegal,1960,2013,Diola,5000,43305000,,7096,Regionally based
