Country/Territory,Coverage (age/grade),Drug Group,Lifetime,Notes,Past Month,Past Year,Region,Source,Subregion,Year of Estimate
Honduras,SS,Cannabis-type,16.8,"Herb, Secondary Schools",4.4,9.6,AMERICAS,ARQ,Central America (excluding Mexico),2014
Honduras,14-17,Cannabis-type,14.7,"Herb, Secondary Schools",1.1,6.8,AMERICAS,ARQ,Central America (excluding Mexico),2015
Nicaragua,15 - 16,Cannabis-type,4.8, ,,,AMERICAS,Govt.,Central America (excluding Mexico),2003
Panama,SS,Cannabis-type,6.2, ,1.8,2.9,AMERICAS,CICAD/ OAS,Central America (excluding Mexico),2008
Panama,18-25,Cannabis-type,8.56,Herb,1.13,3.33,AMERICAS,ARQ,Central America (excluding Mexico),2013
Panama,18-25,Cannabis-type,0.64,Resin,0.04,0.21,AMERICAS,ARQ,Central America (excluding Mexico),2013
Canada,15 - 19,Cannabis-type,34.3, ,13.3,23.7,AMERICAS,ARQ,Northern America (including Mexico),2010
Greenland,"11,13,15",Cannabis-type,16.2, ,4.31,12.17,AMERICAS,HBSC,Northern America (including Mexico),2010
Mexico,12 - 17,Cannabis-type,2.4, ,0.73,1.33,AMERICAS,National Adiction Household Survey,Northern America (including Mexico),2011
Mexico,12- 17,Cannabis-type,, ,,1.2,AMERICAS,National Adiction Household Survey,Northern America (including Mexico),2008
Mexico,12 -17,Cannabis-type,, ,,0.5,AMERICAS,National Adiction Household Survey,Northern America (including Mexico),2002
Mexico,15 - 16,Cannabis-type,2.4, ,,1.3,AMERICAS,ARQ,Northern America (including Mexico),2011
Mexico,15 - 16,Cannabis-type,10.6,Herb only,3.9,7.6,AMERICAS,ARQ,Northern America (including Mexico),2014
Mexico,12 - 17,Cannabis-type,5.3,Herb,1.1,2.6,AMERICAS,ARQ,Northern America (including Mexico),2016
Mexico,12 - 17,Cannabis-type,0.7,Resin,,,AMERICAS,ARQ,Northern America (including Mexico),2016
United States of America, (SS) Grade 10,Cannabis-type,32.3,Herb,15.9,26.7,AMERICAS,ARQ,Northern America (including Mexico),2009
United States of America, (SS) Grade 10,Cannabis-type,33.4,Herb,16.7,27.5,AMERICAS,Govt.,Northern America (including Mexico),2010
United States of America, (SS) Grade 10,Cannabis-type,34.5,Herb,17.6,28.8,AMERICAS,ARQ,Northern America (including Mexico),2011
United States of America, (SS) Grade 10,Cannabis-type,33.8,Herb,17,28,AMERICAS,ARQ,Northern America (including Mexico),2012
United States of America, (SS) Grade 10,Cannabis-type,35.8, ,18,29.8,AMERICAS,ARQ,Northern America (including Mexico),2013
United States of America, (SS) Grade 10,Cannabis-type,33.7, ,16.6,27.3,AMERICAS,ARQ,Northern America (including Mexico),2014
United States of America,(SS) 15 - 16,Cannabis-type,31.1,Monitoring the future,14.8,25.3,AMERICAS,ARQ,Northern America (including Mexico),2015
United States of America,(SS) Grade 10,Cannabis-type,29.7, ,14,23.9,AMERICAS,ARQ,Northern America (including Mexico),2016
Argentina,13 - 17,Cannabis-type,10.9, ,,7.6,AMERICAS,ARQ,South America,2007
Argentina,15 - 16,Cannabis-type,13.2,Herb,5.7,9.5,AMERICAS,ARQ,South America,2009
Argentina,15 - 16,Cannabis-type,14.7,Herb,6.5,11.1,AMERICAS,ARQ,South America,2011
Argentina,15 - 16,Cannabis-type,18.3,Herb,8.8,13.6,AMERICAS,ARQ,South America,2014
Bolivia (Plurinational State of),13 - 18,Cannabis-type,6.2, ,1.9,3.6,AMERICAS,ARQ,South America,2008
Bolivia (Plurinational State of),12 - 17,Cannabis-type,1.1,Herb,0.34,0.71,AMERICAS,ARQ,South America,2008
Bolivia (Plurinational State of),15-16,Cannabis-type,1.11,"Herb, Capitals of departments",0.34,0.71,AMERICAS,ARQ,South America,2013
Bolivia (Plurinational State of),18 - 24,Cannabis-type,11.97,Herb,1.45,3.44,AMERICAS,ARQ,South America,2012
Bolivia (Plurinational State of),18 - 24,Cannabis-type,1.98,Resin,0.2,0.47,AMERICAS,ARQ,South America,2012
Bolivia (Plurinational State of),18 - 24,Cannabis-type,12.15,Herb,2.18,4.98,AMERICAS,OAS,South America,2016
Brazil,15 - 16,Cannabis-type,7.67, ,4.43,6.29,AMERICAS,CICAD/ OAS,South America,2005
Brazil, 10 - 19,Cannabis-type,5.7, ,2,3.7,AMERICAS,ARQ,South America,2010
Chile,(SS) 15 - 16,Cannabis-type,25.9,Herb,8.15,16.2,AMERICAS,ARQ,South America,2009
Chile,(SS) 15 - 16,Cannabis-type,26.9,Herb,12.35,20.5,AMERICAS,ARQ,South America,2011
Chile,(SS) 15 - 16,Cannabis-type,38.96,Herb,19.98,32.87,AMERICAS,ARQ,South America,2013
Chile,"(SS) 13, 15, 17",Cannabis-type,34.89,Herb,17.13,28.35,AMERICAS,CICAD/ OAS,South America,2013
Chile,(SS) 15 - 16,Cannabis-type,43.83,Herb only,20,34.79,AMERICAS,ARQ,South America,2015
Colombia,15 - 16,Cannabis-type,9.58, ,3.01,8.36,AMERICAS,CICAD/ OAS,South America,2005
Colombia,11-18,Cannabis-type,7,Herb,2.83,5.22,AMERICAS,ARQ,South America,2011
Colombia,University,Cannabis-type,31.16,Herb,7.14,15.01,AMERICAS,ARQ,South America,2012
Colombia,18 - 24,Cannabis-type,36.31, ,9.74,20.77,AMERICAS,Government,South America,2016
Ecuador,12 - 17,Cannabis-type,6.4, ,2.2,4.2,AMERICAS,ARQ,South America,2008
Ecuador,University,Cannabis-type,11.41, ,1.68,4.43,AMERICAS,ARQ,South America,2009
Ecuador,12 - 17,Cannabis-type,6.7,Herb,1.3,2.9,AMERICAS,ARQ,South America,2012
Ecuador,12 - 17,Cannabis-type,0.5,Resin,0.1,0.2,AMERICAS,ARQ,South America,2012
Ecuador,12 - 17,Cannabis-type,7.19, ,1.37,3.1,AMERICAS,ARQ,South America,2012
Ecuador,18 - 24,Cannabis-type,26.93,Herb,5.06,11.57,AMERICAS,OAS,South America,2016
Guyana,12 - 18,Cannabis-type,6.8, ,1.8,3.5,AMERICAS,ARQ,South America,2002
Guyana,SS,Cannabis-type,7.15, ,2.38,4.19,AMERICAS,CICAD/ OAS,South America,2013
Paraguay,15 - 16,Cannabis-type,4.2, ,1.6,3,AMERICAS,CICAD/ OAS,South America,2005
Paraguay,12+,Cannabis-type,5.7,"Herb, School in cities of at least 30000",2.3,3.7,AMERICAS,ARQ,South America,2014
Paraguay,12+,Cannabis-type,1,"Resin, School in cities of at least 30000",0,0,AMERICAS,ARQ,South America,2014
Peru,12 - 18,Cannabis-type,2, ,0.6,1.2,AMERICAS,DEVIDA,South America,2006
Peru,15 - 16,Cannabis-type,2.366,Herb,0.837,1.642,AMERICAS,ARQ,South America,2006
Peru,11 - 19,Cannabis-type,3.1, ,0.9,1.9,AMERICAS,DEVIDA,South America,2007
Peru,15-16,Cannabis-type,3.3,Herb,2.4,2.9,AMERICAS,ARQ,South America,2010
Peru,11-20,Cannabis-type,4.3,Herb,1.4,2.2,AMERICAS,DEVIDA,South America,2012
Peru,"(SS) 13, 15, 17",Cannabis-type,5.02,Herb,1.55,2.53,AMERICAS,CICAD/ OAS,South America,2012
Peru,14 - 16,Cannabis-type,4.97,Resin,1.67,2.63,AMERICAS,ARQ,South America,2012
Peru,18 - 24,Cannabis-type,14.77,Herb,1.55,5.17,AMERICAS,OAS,South America,2016
Suriname,SS,Cannabis-type,7.71, ,2.73,4.8,AMERICAS,CICAD/ OAS,South America,2006
Uruguay,13 - 17,Cannabis-type,16.2,Herb,6.8,12.5,AMERICAS,ARQ,South America,2009
Uruguay,13 - 17,Cannabis-type,16.4,Herb,7.5,12,AMERICAS,ARQ,South America,2011
Uruguay,13 - 17,Cannabis-type,0.6,Resin,,,AMERICAS,ARQ,South America,2011
Uruguay,13 - 17,Cannabis-type,20.1, ,9.5,17,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Cannabis-type,20.1,Herb,9.5,17,AMERICAS,ARQ,South America,2014
Uruguay,13 - 17,Cannabis-type,0.8,Resin,0.2,0.6,AMERICAS,ARQ,South America,2014
Venezuela (Bolivarian Republic of),(SS) 12 - 18,Cannabis-type,1.746839645,Herb,0.595073346,0.882812824,AMERICAS,ARQ,South America,2009
Venezuela (Bolivarian Republic of),15-17,Cannabis-type,3.16,Herb,1.09,1.84,AMERICAS,ARQ,South America,2011
Venezuela (Bolivarian Republic of),University,Cannabis-type,6.1,Herb,1.1,3.1,AMERICAS,ARQ,South America,2014
Armenia,15 - 16,Cannabis-type,3, ,,,ASIA,ESPAD,Central Asia and Transcaucasia,2007
Armenia,"11,13,15",Cannabis-type,2.82, ,2.73,3.21,ASIA,HBSC,Central Asia and Transcaucasia,2010
Georgia,(SS) 15 - 16,Cannabis-type,16.9,Select regions (capital);  Georgian Medical News No3 (180) 2010,3.6,9.6,ASIA,Research,Central Asia and Transcaucasia,2010
Georgia,16,Cannabis-type,11, ,4,4,ASIA, ESPAD,Central Asia and Transcaucasia,2015
Kazakhstan,15 - 16,Cannabis-type,4.6, ,,2.7,ASIA,ARQ,Central Asia and Transcaucasia,2007
Kazakhstan,"16, 19 and 21",Cannabis-type,11.2, ,3.6,6.5,ASIA,ARQ,Central Asia and Transcaucasia,2012
Kyrgyzstan,15 - 18,Cannabis-type,0.3, ,,,ASIA,ARQ,Central Asia and Transcaucasia,2001
"China, Hong Kong SAR",15-16,Cannabis-type,, ,,0.02,ASIA,ARQ,East and South-East Asia,2011
"China, Hong Kong SAR",11 - 20,Cannabis-type,,Central Registry,,0.01,ASIA,ARQ,East and South-East Asia,2014
"China, Hong Kong SAR",11 - 20,Cannabis-type,,Central Registry,,0.01,ASIA,ARQ,East and South-East Asia,2015
"China, Hong Kong SAR",11 - 20,Cannabis-type,,Central Registry,,0.01,ASIA,ARQ,East and South-East Asia,2016
"China, Macao SAR",18 - 25,Cannabis-type,2.8, ,,,ASIA,ARQ,East and South-East Asia,2002
"China, Taiwan Province of China",(SS) Grades 10 & 12,Cannabis-type,0.1, ,,,ASIA,Govt.,East and South-East Asia,2006
Indonesia,10 - 19,Cannabis-type,0.57,Herb,0.19,0.3,ASIA,ARQ,East and South-East Asia,2010
Indonesia,15-19,Cannabis-type,1.3,Resin,0.1,1.3,ASIA,ARQ,East and South-East Asia,2011
Indonesia,15-19,Cannabis-type,1.9,Herb,0.07,1.3,ASIA,ARQ,East and South-East Asia,2011
Indonesia,(HHS)10-25,Cannabis-type,0.59,"Herb only, 20 provinces",,0.21,ASIA,ARQ,East and South-East Asia,2015
Japan,13 - 15,Cannabis-type,0.3, ,,,ASIA,ARQ,East and South-East Asia,2010
Japan,(SS) 15 - 16,Cannabis-type,0.2, ,,,ASIA,ARQ,East and South-East Asia,2011
Japan,(SS) 15 - 16,Cannabis-type,0.2, ,,,ASIA,ARQ,East and South-East Asia,2013
Japan,(SS) 15 - 16,Cannabis-type,0.2, ,,,ASIA,ARQ,East and South-East Asia,2014
Japan,(SS) 15 - 16,Cannabis-type,0.3, ,,,ASIA,ARQ,East and South-East Asia,2016
Myanmar,13 - 21,Cannabis-type,0.9, ,,0.5,ASIA,ARQ,East and South-East Asia,2004
Thailand,Youth (undefined),Cannabis-type,4.4,Ages not specified,,,ASIA,ARQ,East and South-East Asia,2003
Israel,(SS) Grade 10,Cannabis-type,, ,,4.2,ASIA,ARQ,Near and Middle East / South-West Asia,2009
Israel,12 - 18,Cannabis-type,7.08, ,4.44,5.66,ASIA,ARQ,Near and Middle East / South-West Asia,2009
Israel,12 - 18,Cannabis-type,5.73,Resin,3.63,4.66,ASIA,ARQ,Near and Middle East / South-West Asia,2009
Israel,12 - 18,Cannabis-type,5.16,Herb,3.51,4.15,ASIA,ARQ,Near and Middle East / South-West Asia,2009
Israel,(SS) 15 - 16,Cannabis-type,6.6, ,3.9,6.4,ASIA,ARQ,Near and Middle East / South-West Asia,2010
Israel,(SS) 15 - 16,Cannabis-type,8.5,Schools -except private schools,5.5,6,ASIA,ARQ,Near and Middle East / South-West Asia,2014
Jordan,18 - 25,Cannabis-type,, ,,2.5,ASIA,ARQ,Near and Middle East / South-West Asia,2001
Lebanon,(SS) 15 - 16,Cannabis-type,6.1,Cannabis Resin,,,ASIA,MedSPAD,Near and Middle East / South-West Asia,2009
Bangladesh,13 - 18,Cannabis-type,5, ,,3,ASIA,ARQ,Southern Asia,2001
Bhutan,Undefined,Cannabis-type,,"Herb, General population survey",,0.093,ASIA,ARQ,Southern Asia,2010
India,12 - 18,Cannabis-type,, ,3,,ASIA,ARQ,Southern Asia,2001
Belarus,15 - 16,Cannabis-type,5.3, ,0.6,2.4,EUROPE,ARQ,Eastern Europe,2010
Republic of Moldova,(SS) 15 - 16,Cannabis-type,4.8, ,1.3,2.8,EUROPE,ESPAD,Eastern Europe,2008
Republic of Moldova,(SS) 15 - 24,Cannabis-type,4.9, ,1.1,2.3,EUROPE,Govt.,Eastern Europe,2010
Republic of Moldova,(SS) 15 - 24,Cannabis-type,3.5, ,0.3,1.2,EUROPE,ARQ,Eastern Europe,2012
Republic of Moldova,(SS) 15 - 16,Cannabis-type,4, ,2,,EUROPE,ESPAD,Eastern Europe,2015
Russian Federation,15 - 16,Cannabis-type,18.6, ,,17,EUROPE,ARQ/ ESPAD,Eastern Europe,2007
Russian Federation,"11,13,15",Cannabis-type,7.11, ,5.21,4.76,EUROPE,HBSC,Eastern Europe,2010
Russian Federation,15-16,Cannabis-type,14.8, ,4,9.5,EUROPE,ARQ,Eastern Europe,2011
Russian Federation,0 - 18,Cannabis-type,0.001, ,,,EUROPE,ARQ,Eastern Europe,2013
Ukraine,(SS) 15 - 16,Cannabis-type,14, ,,,EUROPE,ESPAD,Eastern Europe,2007
Ukraine,15 - 34,Cannabis-type,9,Registered users,2,3,EUROPE,ARQ,Eastern Europe,2010
Ukraine,15-17,Cannabis-type,12.4,Registered users,3,7.3,EUROPE,ARQ,Eastern Europe,2011
Ukraine,14 - 17,Cannabis-type,,Registered users,,0.15,EUROPE,ARQ,Eastern Europe,2013
Ukraine,15 - 35,Cannabis-type,,Registered users,,2.1,EUROPE,ARQ,Eastern Europe,2014
Ukraine,(SS) 15 - 16,Cannabis-type,9, ,2,,EUROPE,ESPAD,Eastern Europe,2015
Albania,14 - 19,Cannabis-type,5.5, ,,,EUROPE,ARQ,South-Eastern Europe (including Turkey),2004
Albania,(SS) 15 - 16,Cannabis-type,7.1,Herb,3.4,5.5,EUROPE,ARQ / ESPAD,South-Eastern Europe (including Turkey),2015
Bosnia and Herzegovina,(SS) 15 - 16,Cannabis-type,, ,,10,EUROPE,ARQ,South-Eastern Europe (including Turkey),2008
Bosnia and Herzegovina,(SS) 15 - 16,Cannabis-type,4.5, ,1.4,3.3,EUROPE,ARQ,South-Eastern Europe (including Turkey),2011
Bosnia and Herzegovina,(SS) 15 - 16,Cannabis-type,,Resin,1,,EUROPE,ARQ,South-Eastern Europe (including Turkey),2011
Bosnia and Herzegovina,(SS) 15 - 16,Cannabis-type,1, ,,,EUROPE,ARQ,South-Eastern Europe (including Turkey),2012
Bosnia and Herzegovina,(SS) 15 - 16,Cannabis-type,0.8,Herb,,,EUROPE,ARQ,South-Eastern Europe (including Turkey),2012
Bosnia and Herzegovina,(SS) 15 - 16,Cannabis-type,0.2,Resin,,,EUROPE,ARQ,South-Eastern Europe (including Turkey),2012
Bulgaria,14 - 19,Cannabis-type,26, ,9.4,17,EUROPE,ARQ,South-Eastern Europe (including Turkey),2008
Bulgaria,14 - 19,Cannabis-type,11.4,Resin,3.7,6.8,EUROPE,ARQ,South-Eastern Europe (including Turkey),2008
Bulgaria,14 - 19,Cannabis-type,24.5,Herb,8.7,15.7,EUROPE,ARQ,South-Eastern Europe (including Turkey),2008
Bulgaria,(SS) 15 - 16,Cannabis-type,25.6, ,11.3,20.5,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2011
Bulgaria,15 - 18,Cannabis-type,26.2, ,11.1,19.6,EUROPE,ARQ,South-Eastern Europe (including Turkey),2013
Bulgaria,15 - 18,Cannabis-type,25.5,Herb,10.8,19,EUROPE,ARQ,South-Eastern Europe (including Turkey),2013
Bulgaria,15 - 18,Cannabis-type,8.1,Resin,3.3,6,EUROPE,ARQ,South-Eastern Europe (including Turkey),2013
Bulgaria,(SS) 15 - 16,Cannabis-type,27, ,12,,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2015
Bulgaria,(SS) 15 - 16,Cannabis-type,30.9, ,14.2,24.3,EUROPE,ARQ / ESPAD,South-Eastern Europe (including Turkey),2015
Croatia,16,Cannabis-type,18.3, ,,13.4,EUROPE,ARQ,South-Eastern Europe (including Turkey),2007
Croatia,15,Cannabis-type,13.4,Herb,5.5,10.2,EUROPE,ARQ,South-Eastern Europe (including Turkey),2010
Croatia,(SS) 15 - 16,Cannabis-type,21, ,8,,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2015
The former Yugoslav Republic of Macedonia,(SS) 15 - 16,Cannabis-type,5.5, ,2.2,4.3,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2008
The former Yugoslav Republic of Macedonia,"11,13,15",Cannabis-type,2.75, ,1.77,2.31,EUROPE,HBSC,South-Eastern Europe (including Turkey),2010
The former Yugoslav Republic of Macedonia,(SS) 15 - 16,Cannabis-type,5, ,2,,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2015
Montenegro,(SS) 16,Cannabis-type,5.5, ,2.8,3.9,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2011
Montenegro,(SS) 15 - 16,Cannabis-type,4, ,1.6,2.4,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2008
Montenegro,(SS) 16,Cannabis-type,8, ,3,6,EUROPE,ARQ,South-Eastern Europe (including Turkey),2015
Romania,(SS) 16,Cannabis-type,3.5, ,,1.9,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2007
Romania,(SS) 15 - 16,Cannabis-type,7.1, ,2.2,5.5,EUROPE,ARQ,South-Eastern Europe (including Turkey),2011
Romania,(SS) 15 - 17,Cannabis-type,8.1, ,2.9,6.1,EUROPE,ARQ,South-Eastern Europe (including Turkey),2015
Serbia,(SS) 15 - 16,Cannabis-type,6.7, ,,4.9,EUROPE,ARQ,South-Eastern Europe (including Turkey),2008
Serbia,(SS) 15 - 16,Cannabis-type,6.7, ,2.6,5,EUROPE,ESPAD,South-Eastern Europe (including Turkey),2011
Turkey,15 - 16,Cannabis-type,4.3, ,,3.31,EUROPE,ARQ,South-Eastern Europe (including Turkey),2003
Andorra,(SS) 15 - 16,Cannabis-type,, ,8.4,,EUROPE,ARQ,Western and Central Europe,2008
Andorra,(SS) 15,Cannabis-type,28.1, ,9.9,13.2,EUROPE,ARQ,Western and Central Europe,2014
Austria,(SS) 15 - 16,Cannabis-type,18, ,6.7,,EUROPE,ESPAD,Western and Central Europe,2007
Austria,14 - 17,Cannabis-type,19, ,7,15,EUROPE,ARQ,Western and Central Europe,2007
Austria,(SS) 15 - 16,Cannabis-type,19.9, ,9,16,EUROPE,ARQ / ESPAD,Western and Central Europe,2015
Belgium,15 - 16,Cannabis-type,24.04, ,9.22,15.36,EUROPE,ARQ,Western and Central Europe,2010
Belgium,(SS) 15 - 16,Cannabis-type,21.5, ,12,15,EUROPE,ARQ,Western and Central Europe,2011
Belgium,(SS) 15 - 16,Cannabis-type,20.9, ,11.2,13.6,EUROPE,ARQ,Western and Central Europe,2012
Belgium,(SS) 15 - 16,Cannabis-type,17,Flemish part,8,,EUROPE,ESPAD,Western and Central Europe,2015
Belgium,(SS) 15 - 16,Cannabis-type,17.9,Flemish part,6.3,13.5,EUROPE,ARQ / ESPAD,Western and Central Europe,2016
Belgium,(SS) 12 - 18,Cannabis-type,14.6,Flemish part,5.2,10.8,EUROPE,ARQ / ESPAD,Western and Central Europe,2016
