Age,Country,Drug Group,Method,Notes,Prevalence,Region,Source,Sub-Region,Year
15-64,United States of America,Cocaine,HHS,,2.3,Americas,ARQ,Northern America (including Mexico),2012
15-64,United States of America,Cocaine,HHS,,2.15,Americas,ARQ,Northern America (including Mexico),2013
15-64,United States of America,Cocaine,HHS,,2.1,Americas,ARQ,Northern America (including Mexico),2014
15-64,United States of America,Cocaine,HHS,,2.3,Americas,ARQ,Northern America (including Mexico),2015
15 - 64,United States of America,Cocaine,HHS,Cocaine salts,2.4,Americas,ARQ,Northern America (including Mexico),2016
12-65,Argentina,Cocaine,HHS,Does not include crack,1,Americas,Government Source,South America,2008
16-65,Argentina,Cocaine,HHS,Does not include crack,0.73,Americas,ARQ,South America,2011
15 - 64,Argentina,Cocaine,,"Includes cocaine salts and ""paco""",1.67,Americas,UNODC Estimate,South America,2017
15-64,Bolivia (Plurinational State of),Cocaine,HHS,,0.6,Americas,ARQ,South America,2007
12-65,Bolivia (Plurinational State of),Cocaine,HHS,Salt and pasta base,0.36,Americas,UNODC Estimate,South America,2013
12-65,Brazil,Cocaine,HHS,,0.7,Americas,Government source,South America,2005
15-64,Brazil,Cocaine,HHS,Cocaine powder and crack,1,Americas,Government source,South America,2016
15-64,Chile,Cocaine,HHS,,2.4,Americas,ARQ,South America,2008
15-64,Chile,Cocaine,HHS,,1.01,Americas,ARQ,South America,2010
15-64,Chile,Cocaine,HHS,,1.21,Americas,ARQ,South America,2012
15-64,Chile,Cocaine,HHS,,1.73,Americas,ARQ,South America,2014
15-64,Chile,Cocaine,HHS,"Cocaine salt, crack and ""pasta base""",1.38,Americas,ARQ,South America,2016
18-65,Colombia,Cocaine,,,0.8,Americas,Government source,South America,2003
12-65,Colombia,Cocaine,HHS,,0.72,Americas,ARQ,South America,2008
12-65,Colombia,Cocaine,HHS,,0.7,Americas,ARQ,South America,2013
12-65,Ecuador,Cocaine,HHS,,0.2,Americas,ARQ,South America,2007
12-65,Ecuador,Cocaine,HHS,,0.08,Americas,ARQ,South America,2013
12-64,Paraguay,Cocaine,HHS,,0.25,Americas,UNODC Estimate,South America,2003
15-64,Peru,Cocaine,HHS,,0.48,Americas,ARQ,South America,2006
12-65,Peru,Cocaine,HHS,,0.7,Americas,Government source,South America,2010
15-64,Suriname,Cocaine,,,0.5,Americas,UNODC Estimate,South America,2002
12-65,Suriname,Cocaine,HHS,,0.3,Americas,Government source,South America,2007
15-64,Uruguay,Cocaine,HHS,,1.7,Americas,ARQ,South America,2006
15-65,Uruguay,Cocaine,HHS,Cocaine salt and pasta base,2.1,Americas,ARQ,South America,2011
15-65,Uruguay,Cocaine,HHS,Cocaine salt and pasta base,1.8,Americas,ARQ,South America,2014
15-64,Venezuela (Bolivarian Republic of),Cocaine,HHS,,0.63,Americas,Government source,South America,2005
12-65,Venezuela (Bolivarian Republic of),Cocaine,HHS,,0.64,Americas,ARQ,South America,2011
15-64,Armenia,Cocaine,HHS,,0.1,Asia,UNODC Estimate,Central Asia and Transcaucasia,2005
18-64,Georgia,Cocaine,HHS,,0,Asia,ARQ,Central Asia and Transcaucasia,2015
15-64,"China, Hong Kong SAR",Cocaine,SS,,0.25,Asia,Government source,East and South-East Asia,2008
15-64,"China, Taiwan Province of China",Cocaine,,,0.1,Asia,AMCEWG,East and South-East Asia,2005
15-64,Indonesia,Cocaine,HHS,,0.02,Asia,ARQ,East and South-East Asia,2008
10-60,Indonesia,Cocaine,HHS,,0.01,Asia,ARQ,East and South-East Asia,2010
10-60,Indonesia,Cocaine,HHS,20 of 34 provinces.,0,Asia,ARQ,East and South-East Asia,2015
15-64,Philippines,Cocaine,HHS,,0.03,Asia,UNODC Estimate,East and South-East Asia,2005
10-69,Philippines,Cocaine,HHS,Data refers to 2012/13. 17 of 18 regions.,0.04,Asia,ARQ,East and South-East Asia,2012
10-69,Philippines,Cocaine,HHS,Data for 2015/16,0.07,Asia,ARQ,East and South-East Asia,2016
15-64,Republic of Korea,Cocaine,HHS,,0.03,Asia,ARQ,East and South-East Asia,2004
15-64,Thailand,Cocaine,HHS,,0.05,Asia,ARQ,East and South-East Asia,2007
15-64,Afghanistan,Cocaine,HHS,,0,Asia,UNODC/ Govt. Source,Near and Middle East/ South-West Asia,2009
15-64,Iran (Islamic Republic of),Cocaine,I,,0.01,Asia,Government source,Near and Middle East/ South-West Asia,2008
18-40,Israel,Cocaine,,,1.06,Asia,ARQ,Near and Middle East/ South-West Asia,2009
18-65,Israel,Cocaine,HHS,"Salt and ""crack""",0.6,Asia,UNODC Estimate,Near and Middle East/ South-West Asia,2016
15-64,Kuwait,Cocaine,,,0.04,Asia,UNODC Estimate,Near and Middle East/ South-West Asia,2005
15-64,Pakistan,Cocaine,,,0.01,Asia,Government/UNODC,Near and Middle East/ South-West Asia,2012
15-64,Syrian Arab Republic,Cocaine,,,0,Asia,UNODC Estimate,Near and Middle East/ South-West Asia,2005
15-64,Maldives,Cocaine,HHS,,0.04,Asia,Government source,Southern Asia,2012
15-64,Belarus,Cocaine,SS,,0.06,Europe,ESPAD,Eastern Europe,2007
15-64,Republic of Moldova,Cocaine,HHS,,0.04,Europe,Government sources,Eastern Europe,2008
15-64,Russian Federation,Cocaine,SS,Appoximate adjustment,0.23,Europe,ESPAD/UNODC Estimate,Eastern Europe,2007
15-64,Ukraine,Cocaine,SS,,0.23,Europe,ESPAD,Eastern Europe,2007
15-64,Ukraine,Cocaine,SS,,0.52,Europe,ESPAD,Eastern Europe,2011
15-64,Ukraine,Cocaine,,,0.32,Europe,ESPAD/UNODC Estimate,Eastern Europe,2015
15-64,Albania,Cocaine,,,0.08,Europe,UNODC Estimate,South-Eastern Europe (including Turkey),2004
15-64,Albania,Cocaine,SS,,0.78,Europe,Government sources,South-Eastern Europe (including Turkey),2006
15 - 64,Albania,Cocaine,HHS,,2.5,Europe,ARQ,South-Eastern Europe (including Turkey),2014
15-64,Bosnia and Herzegovina,Cocaine,SS,,0.63,Europe,ESPAD,South-Eastern Europe (including Turkey),2008
18-60,Bulgaria,Cocaine,HHS,,0.3,Europe,ARQ,South-Eastern Europe (including Turkey),2005
15-64,Bulgaria,Cocaine,HHS,,0.6,Europe,ARQ,South-Eastern Europe (including Turkey),2007
15-64,Bulgaria,Cocaine,HHS,,0.2,Europe,ARQ,South-Eastern Europe (including Turkey),2012
15 - 64,Bulgaria,Cocaine,HHS,,0.3,Europe,ARQ,South-Eastern Europe (including Turkey),2016
15-64,Croatia,Cocaine,SS,,0.88,Europe,ESPAD,South-Eastern Europe (including Turkey),2007
15-64,Croatia,Cocaine,HHS,,0.5,Europe,EMCDDA,South-Eastern Europe (including Turkey),2012
15-64,Croatia,Cocaine,HHS,Cocaine salt,0.8,Europe,ARQ,South-Eastern Europe (including Turkey),2015
15-64,Montenegro,Cocaine,SS,,0.77,Europe,ESPAD,South-Eastern Europe (including Turkey),2008
15-64,Montenegro,Cocaine,SS,,0.52,Europe,ESPAD,South-Eastern Europe (including Turkey),2011
15-64,Montenegro,Cocaine,SS,,0.62,Europe,ESPAD/UNODC Estimate,South-Eastern Europe (including Turkey),2015
15-64,Romania,Cocaine,HHS,,0.04,Europe,ARQ,South-Eastern Europe (including Turkey),2007
15-64,Romania,Cocaine,HHS,,0.1,Europe,ARQ,South-Eastern Europe (including Turkey),2010
15-64,Romania,Cocaine,HHS,,0.2,Europe,ARQ,South-Eastern Europe (including Turkey),2013
15 - 64,Romania,Cocaine,HHS,,0.2,Europe,ARQ,South-Eastern Europe (including Turkey),2016
15-64,Serbia,Cocaine,HHS,,0.54,Europe,Government sources,South-Eastern Europe (including Turkey),2008
18-64,Serbia,Cocaine,HHS,,0.1,Europe,Government source,South-Eastern Europe (including Turkey),2014
15-64,The former Yugoslav Republic of Macedonia,Cocaine,,,0.08,Europe,INCSR,South-Eastern Europe (including Turkey),2007
15-64,The former Yugoslav Republic of Macedonia,Cocaine,SS,,0.34,Europe,ESPAD/UNODC Estimate,South-Eastern Europe (including Turkey),2015
15-64,Turkey,Cocaine,,,0.04,Europe,UNODC Estimate,South-Eastern Europe (including Turkey),2003
15-64,Austria,Cocaine,HHS,,0.9,Europe,EMCDDA,Western and Central Europe,2004
15-64,Austria,Cocaine,HHS,,0.9,Europe,ARQ,Western and Central Europe,2008
15-64,Austria,Cocaine,HHS,Including crack,0.4,Europe,Government source,Western and Central Europe,2015
15-64,Belgium,Cocaine,SS,,1.21,Europe,ESPAD,Western and Central Europe,2007
15-64,Belgium,Cocaine,HHS,,0.9,Europe,ARQ,Western and Central Europe,2008
15-64,Belgium,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2013
15-65,Cyprus,Cocaine,,,0.6,Europe,ARQ,Western and Central Europe,2006
15-64,Cyprus,Cocaine,HHS,,1.2,Europe,ARQ,Western and Central Europe,2009
15-64,Cyprus,Cocaine,HHS,,0.3,Europe,ARQ,Western and Central Europe,2012
15 - 64,Cyprus,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2016
15-64,Czechia,Cocaine,HHS,,0.7,Europe,Government sources,Western and Central Europe,2008
15-64,Czechia,Cocaine,HHS,,0.4,Europe,ARQ,Western and Central Europe,2010
15-64,Czechia,Cocaine,HHS,,0.4,Europe,ARQ,Western and Central Europe,2012
15-64,Czechia,Cocaine,HHS,,0.1,Europe,ARQ,Western and Central Europe,2013
15-64,Czechia,Cocaine,HHS,Cocaine salt,0.2,Europe,ARQ,Western and Central Europe,2014
15 - 64,Czechia,Cocaine,HHS,Cocaine salts,0.1,Europe,ARQ,Western and Central Europe,2015
16-64,Denmark,Cocaine,HHS,,1.4,Europe,ARQ,Western and Central Europe,2008
16-64,Denmark,Cocaine,HHS,,0.9,Europe,ARQ,Western and Central Europe,2010
16-64,Denmark,Cocaine,HHS,,0.9,Europe,ARQ,Western and Central Europe,2013
15-64,Estonia,Cocaine,HHS,,0.6,Europe,ARQ,Western and Central Europe,2003
15-64,Estonia,Cocaine,HHS,,0.6,Europe,ARQ,Western and Central Europe,2008
15-64,Finland,Cocaine,,,0.5,Europe,ARQ,Western and Central Europe,2006
15-64,Finland,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2010
15-64,Finland,Cocaine,HHS,Cocaine salt,0.5,Europe,ARQ,Western and Central Europe,2014
15-64,Luxembourg,Cocaine,,,0.9,Europe,UNODC Estimate,Western and Central Europe,2003
15-64,Lithuania,Cocaine,,,0.3,Europe,ARQ,Western and Central Europe,2004
15-64,Norway,Cocaine,,,0.8,Europe,ARQ,Western and Central Europe,2004
15-64,Greece,Cocaine,,,0.1,Europe,EMCDDA,Western and Central Europe,2004
15-64,France,Cocaine,,,0.6,Europe,ARQ,Western and Central Europe,2005
15-64,Netherlands,Cocaine,,,0.6,Europe,ARQ,Western and Central Europe,2005
16-64,Poland,Cocaine,,,0.2,Europe,ARQ,Western and Central Europe,2006
15-64,Italy,Cocaine,HHS,,2.1,Europe,EMCDDA,Western and Central Europe,2005
15-64,Slovakia,Cocaine,HHS,,0.6,Europe,ARQ,Western and Central Europe,2006
15-64,United Kingdom (Northern Ireland),Cocaine,HHS,,1.9,Europe,Government source,Western and Central Europe,2006
18-64,Germany,Cocaine,HHS,,0.7,Europe,Government source,Western and Central Europe,2006
15-64,Latvia,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2007
15-64,Portugal,Cocaine,HHS,,0.6,Europe,ARQ,Western and Central Europe,2007
15-64,Switzerland,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2007
15-64,Ireland,Cocaine,HHS,,1.7,Europe,Government source,Western and Central Europe,2007
18-64,Hungary,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2007
15-64,Lithuania,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2008
15-64,Slovenia,Cocaine,HHS,,0.6,Europe,ARQ,Western and Central Europe,2008
15-64,Sweden,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2008
15-64,Italy,Cocaine,HHS,,2.1,Europe,EMCDDA,Western and Central Europe,2008
15-64,Netherlands,Cocaine,HHS,,1.2,Europe,ARQ,Western and Central Europe,2009
15-64,Norway,Cocaine,HHS,,0.4,Europe,ARQ,Western and Central Europe,2009
15-64,Spain,Cocaine,HHS,,2.7,Europe,ARQ,Western and Central Europe,2009
18-64,Germany,Cocaine,HHS,,0.8,Europe,ARQ,Western and Central Europe,2009
15-64,Poland,Cocaine,HHS,,0.7,Europe,ARQ,Western and Central Europe,2010
15-64,France,Cocaine,HHS,,0.88,Europe,EMCDDA,Western and Central Europe,2010
15-64,Slovakia,Cocaine,HHS,,0.2,Europe,EMCDDA,Western and Central Europe,2010
16-59,United Kingdom (England and Wales),Cocaine,HHS,Data refers to 2010/11,2.2,Europe,Government source,Western and Central Europe,2010
16-64,United Kingdom (Scotland),Cocaine,HHS,Data refers to 2009/10,2.7,Europe,Government source,Western and Central Europe,2010
15-64,Ireland,Cocaine,HHS,,1.5,Europe,ARQ,Western and Central Europe,2011
15-64,Latvia,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2011
15-64,Spain,Cocaine,HHS,,2.3,Europe,ARQ,Western and Central Europe,2011
15-64,Switzerland,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2011
15-64,United Kingdom (Northern Ireland),Cocaine,HHS,Data refers to 2010/11,1.5,Europe,Government source,Western and Central Europe,2011
16-59,United Kingdom (England and Wales),Cocaine,HHS,Data refers to 2011/12,2.2,Europe,Government source,Western and Central Europe,2011
16-64,United Kingdom (Scotland),Cocaine,HHS,Data refers to 2010/11,2.4,Europe,Government source,Western and Central Europe,2011
15+,Switzerland,Cocaine,HHS,,0.4,Europe,ARQ,Western and Central Europe,2012
15-64,Italy,Cocaine,HHS,,0.6,Europe,ARQ,Western and Central Europe,2012
15-64,Lithuania,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2012
15-64,Poland,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2012
15-64,Portugal,Cocaine,HHS,,0.2,Europe,ARQ,Western and Central Europe,2012
15-64,Slovenia,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2012
16-59,United Kingdom (England and Wales),Cocaine,HHS,Data refers to 2012/13,2,Europe,Government source,Western and Central Europe,2012
16-64,United Kingdom (Scotland),Cocaine,HHS,Data refers to 2012/13,2.2,Europe,Government source,Western and Central Europe,2012
18-64,Germany,Cocaine,HHS,cocaine and crack,0.8,Europe,ARQ,Western and Central Europe,2012
15-64,Malta,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2013
15-64,Spain,Cocaine,HHS,,2.2,Europe,ARQ,Western and Central Europe,2013
15-64,Switzerland,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2013
15-64,Italy,Cocaine,HHS,Data refers to 2013-14,1.1,Europe,ARQ,Western and Central Europe,2013
15-64,Sweden,Cocaine,HHS,,0.6,Europe,EMCDDA,Western and Central Europe,2013
16-59,United Kingdom (England and Wales),Cocaine,HHS,Data refers to 2013/14. Crime Survey for England and Wales.,2.4,Europe,ARQ,Western and Central Europe,2013
16-64,Norway,Cocaine,HHS,,0.9,Europe,ARQ,Western and Central Europe,2013
15-64,France,Cocaine,HHS,,1.1,Europe,ARQ,Western and Central Europe,2014
15-64,Netherlands,Cocaine,HHS,,1.6,Europe,ARQ,Western and Central Europe,2014
15-64,Switzerland,Cocaine,HHS,,0.5,Europe,ARQ,Western and Central Europe,2014
15-64,Poland,Cocaine,HHS,Data refers to 2014/15,0.2,Europe,ARQ,Western and Central Europe,2014
15-64,United Kingdom (Northern Ireland),Cocaine,HHS,Data refers to 2014/15,1.8,Europe,Government source,Western and Central Europe,2014
16-59,United Kingdom (England and Wales),Cocaine,HHS,Data refers to 2014/15. Crime Survey for England and Wales,2.4,Europe,ARQ,Western and Central Europe,2014
16-64,Norway,Cocaine,HHS,,1,Europe,ARQ,Western and Central Europe,2014
16-64,United Kingdom (Scotland),Cocaine,HHS,Data refers to 2014/15,2.34,Europe,Government source,Western and Central Europe,2014
15 - 64,Spain,Cocaine,HHS,,2,Europe,ARQ,Western and Central Europe,2015
15 - 64,Ireland,Cocaine,HHS,Data for 2014-15.,1.5,Europe,ARQ,Western and Central Europe,2015
15-64,Slovakia,Cocaine,HHS,,0.1,Europe,ARQ,Western and Central Europe,2015
15-64,Switzerland,Cocaine,HHS,Cocaine salt,0.66,Europe,ARQ,Western and Central Europe,2015
15-64,Latvia,Cocaine,HHS,Only cocaine salt,0.5,Europe,ARQ,Western and Central Europe,2015
15-64,Netherlands,Cocaine,HHS,,1.9,Europe,EMCDDA,Western and Central Europe,2015
16-59,United Kingdom (England and Wales),Cocaine,HHS,Data refers to 2015/16.,2.3,Europe,ARQ,Western and Central Europe,2015
16-64,Norway,Cocaine,HHS,Cocaine salt,1,Europe,ARQ,Western and Central Europe,2015
18-64,Greece,Cocaine,HHS,,0.4,Europe,ARQ,Western and Central Europe,2015
18-64,Hungary,Cocaine,HHS,,0.31,Europe,ARQ,Western and Central Europe,2015
18-64,Germany,Cocaine,HHS,Includes crack,0.6,Europe,ARQ/Academic,Western and Central Europe,2015
15 - 64,Lithuania,Cocaine,HHS,,0.1,Europe,ARQ,Western and Central Europe,2016
15 - 64,Poland,Cocaine,HHS,,1.4,Europe,ARQ,Western and Central Europe,2016
15-64,Switzerland,Cocaine,HHS,,0.81,Europe,Government source,Western and Central Europe,2016
16 - 64,Norway,Cocaine,HHS,,0.6,Europe,ARQ,Western and Central Europe,2016
16-59,United Kingdom (England and Wales),Cocaine,HHS,Includes powder cocaine and crack. Data for 2016/17.,2.3,Europe,Government source,Western and Central Europe,2016
15-64,Iceland,Cocaine,SS,,0.88,Europe,ESPAD,Western and Central Europe,2007
15-64,Slovenia,Cocaine,SS,,0.88,Europe,ESPAD,Western and Central Europe,2007
18-65,Malta,Cocaine,SS,,1.11,Europe,ESPAD,Western and Central Europe,2007
15-64,Luxembourg,Cocaine,SS,,1.04,Europe,ARQ,Western and Central Europe,2010
15-64,Iceland,Cocaine,SS,,0.92,Europe,ESPAD,Western and Central Europe,2011
15-64,Malta,Cocaine,SS,,1.78,Europe,ESPAD,Western and Central Europe,2011
15-64,Iceland,Cocaine,SS,,1.06,Europe,ESPAD/UNODC Estimate,Western and Central Europe,2015
15-64,New Zealand,Cocaine,HHS,,0.76,Oceania,ARQ,Australia and New Zealand,2006
15-64,Australia,Cocaine,HHS,,1.9,Oceania,Government source,Australia and New Zealand,2007
16-64,New Zealand,Cocaine,HHS,Cocaine/crack,0.6,Oceania,Government source,Australia and New Zealand,2008
14+,Australia,Cocaine,HHS,,2.1,Oceania,ARQ,Australia and New Zealand,2010
14+,Australia,Cocaine,HHS,,2.1,Oceania,ARQ,Australia and New Zealand,2013
14+,Australia,Cocaine,HHS,,2.5,Oceania,ARQ,Australia and New Zealand,2016
